JobID|ProcID|System|SubmissionType|Group|Class|Nan|User|Nan2|Submission|Submit|Start|Stop|Elapsed|ExitCode|State|NNodes|NCpus|NProcs|ReqMem|Nan3|AllRequest|Timelimit|NodeList
26829118|26829118|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:07:42|2018-04-25T21:07:42|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1049
26829121|26829121|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:07:46|2018-04-25T21:07:46|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1089
26829146|26829146|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:15|2018-04-25T21:09:15|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1122
26829155|26829155|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:33|2018-04-25T21:09:33|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1125
26829157|26829157|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:35|2018-04-25T21:09:35|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1100
26829159|26829159|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:35|2018-04-25T21:09:35|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1098
26829169|26829169|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:35|2018-04-25T21:09:35|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1107
26829171|26829171|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:36|2018-04-25T21:09:36|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1106
26829189|26829189|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:55|2018-04-25T21:09:55|2018-04-26T00:22:16|2018-04-26T00:52:33|00:30:17|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1133
26829193|26829193|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:56|2018-04-25T21:09:56|2018-04-26T00:22:17|2018-04-26T00:52:33|00:30:16|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1308
26829205|26829205|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:09:56|2018-04-25T21:09:56|2018-04-26T00:22:45|2018-04-26T00:53:03|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1380
